"ID","Target"
1,1
3,1
4,1
8,1
9,1
11,1
12,1
13,1
14,1
15,1
16,1
19,1
22,1
25,1
26,1
29,1
30,1
31,1
36,1
37,1
38,1
45,1
46,1
48,1
49,1
55,1
59,1
68,1
69,1
71,1
73,1
83,1
84,1
88,1
90,1
92,1
93,1
94,1
95,1
97,1
101,1
102,1
108,1
113,1
117,1
120,1
125,1
127,1
129,1
130,1
132,1
134,1
137,1
139,1
145,1
147,1
148,1
149,1
150,1
155,1
161,1
165,1
166,1
168,1
170,1
179,1
183,1
184,1
186,1
187,1
188,1
189,1
191,1
192,1
194,1
195,1
198,1
199,1
201,1
205,1
209,1
212,1
213,1
219,1
221,1
224,1
225,1
227,1
228,1
229,1
232,1
233,1
234,1
236,1
243,1
249,1
250,1
253,1
255,1
256,1
258,1
265,1
268,1
270,1
271,1
273,1
274,1
280,1
281,1
283,1
284,1
288,1
291,1
296,1
297,1
298,1
299,1
301,1
309,1
310,1
311,1
314,1
315,1
320,1
324,1
326,1
330,1
333,1
337,1
339,1
344,1
346,1
347,1
350,1
355,1
356,1
358,1
360,1
362,1
364,1
365,1
366,1
368,1
369,1
370,1
372,1
375,1
377,1
378,1
380,1
384,1
385,1
388,1
389,1
391,1
394,1
397,1
398,1
402,1
404,1
410,1
413,1
416,1
419,1
423,1
427,1
428,1
430,1
431,1
433,1
434,1
435,1
438,1
440,1
441,1
446,1
448,1
453,1
458,1
463,1
464,1
467,1
468,1
474,1
477,1
484,1
486,1
489,1
492,1
493,1
495,1
499,1
501,1
510,1
512,1
515,1
519,1
523,1
526,1
530,1
535,1
538,1
539,1
540,1
542,1
543,1
545,1
546,1
548,1
554,1
555,1
556,1
558,1
563,1
564,1
567,1
572,1
575,1
576,1
577,1
578,1
580,1
582,1
583,1
585,1
588,1
592,1
593,1
596,1
606,1
615,1
620,1
628,1
631,1
636,1
638,1
639,1
640,1
642,1
643,1
647,1
654,1
655,1
657,1
658,1
660,1
661,1
664,1
666,1
671,1
674,1
675,1
677,1
679,1
680,1
683,1
687,1
688,1
689,1
691,1
695,1
697,1
700,1
701,1
702,1
703,1
707,1
708,1
709,1
710,1
712,1
713,1
715,1
718,1
719,1
721,1
722,1
727,1
730,1
733,1
736,1
737,1
738,1
739,1
740,1
744,1
747,1
749,1
751,1
752,1
753,1
754,1
755,1
759,1
764,1
766,1
777,1
779,1
782,1
783,1
784,1
785,1
786,1
788,1
789,1
790,1
792,1
793,1
795,1
798,1
800,1
801,1
803,1
804,1
806,1
808,1
810,1
814,1
816,1
818,1
819,1
820,1
821,1
823,1
824,1
825,1
828,1
829,1
830,1
834,1
836,1
840,1
842,1
844,1
845,1
847,1
851,1
852,1
859,1
873,1
876,1
878,1
879,1
880,1
881,1
884,1
885,1
888,1
891,1
898,1
900,1
901,1
902,1
907,1
909,1
911,1
912,1
915,1
926,1
927,1
938,1
941,1
942,1
946,1
947,1
949,1
950,1
